timestamp_utc,open,high,low,close
2026-01-02 22:00:00,1.17387,1.17485,1.17387,1.17484
2026-01-02 22:15:00,1.17484,1.17485,1.17453,1.17453
2026-01-02 22:30:00,1.17455,1.17472,1.17452,1.17467
2026-01-02 22:45:00,1.17467,1.17482,1.17459,1.17466
2026-01-02 23:00:00,1.17464,1.17484,1.17455,1.17463
2026-01-02 23:15:00,1.17462,1.17490,1.17458,1.17469
2026-01-02 23:30:00,1.17470,1.17493,1.17463,1.17493
2026-01-02 23:45:00,1.17495,1.17507,1.17483,1.17506
2026-01-03 00:00:00,1.17509,1.17532,1.17498,1.17527
2026-01-03 00:15:00,1.17525,1.17525,1.17512,1.17516
2026-01-03 00:30:00,1.17519,1.17528,1.17510,1.17521
2026-01-03 00:45:00,1.17522,1.17563,1.17519,1.17560
2026-01-03 01:00:00,1.17562,1.17604,1.17561,1.17568
2026-01-03 01:15:00,1.17570,1.17602,1.17565,1.17601
2026-01-03 01:30:00,1.17601,1.17616,1.17582,1.17601
2026-01-03 01:45:00,1.17602,1.17626,1.17593,1.17608
2026-01-03 02:00:00,1.17607,1.17636,1.17599,1.17633
2026-01-03 02:15:00,1.17632,1.17633,1.17608,1.17611
2026-01-03 02:30:00,1.17609,1.17609,1.17584,1.17601
2026-01-03 02:45:00,1.17598,1.17602,1.17581,1.17592
2026-01-03 03:00:00,1.17594,1.17622,1.17594,1.17615
2026-01-03 03:15:00,1.17616,1.17630,1.17609,1.17628
2026-01-03 03:30:00,1.17630,1.17634,1.17617,1.17634
2026-01-03 03:45:00,1.17632,1.17649,1.17631,1.17644
2026-01-03 04:00:00,1.17645,1.17647,1.17603,1.17606
2026-01-03 04:15:00,1.17608,1.17612,1.17578,1.17581
2026-01-03 04:30:00,1.17582,1.17582,1.17550,1.17557
2026-01-03 04:45:00,1.17556,1.17571,1.17549,1.17553
2026-01-03 05:00:00,1.17553,1.17558,1.17547,1.17555
2026-01-03 05:15:00,1.17558,1.17569,1.17554,1.17567
2026-01-03 05:30:00,1.17564,1.17577,1.17555,1.17561
2026-01-03 05:45:00,1.17562,1.17567,1.17508,1.17513
2026-01-03 06:00:00,1.17510,1.17513,1.17470,1.17470
2026-01-03 06:15:00,1.17469,1.17469,1.17431,1.17434
2026-01-03 06:30:00,1.17436,1.17442,1.17413,1.17431
2026-01-03 06:45:00,1.17429,1.17454,1.17420,1.17437
2026-01-03 07:00:00,1.17434,1.17458,1.17419,1.17448
2026-01-03 07:15:00,1.17447,1.17468,1.17413,1.17414
2026-01-03 07:30:00,1.17412,1.17414,1.17320,1.17355
2026-01-03 07:45:00,1.17355,1.17390,1.17321,1.17347
2026-01-03 08:00:00,1.17344,1.17382,1.17304,1.17347
2026-01-03 08:15:00,1.17348,1.17348,1.17240,1.17261
