timestamp_utc,open,high,low,close
2026-01-02 22:04:00,1.17387,1.17414,1.17387,1.17414
2026-01-02 22:05:00,1.17414,1.17449,1.17414,1.17448
2026-01-02 22:06:00,1.17449,1.17454,1.17449,1.17454
2026-01-02 22:07:00,1.17455,1.17455,1.17449,1.17449
2026-01-02 22:08:00,1.17449,1.17454,1.17449,1.17454
2026-01-02 22:09:00,1.17455,1.17455,1.17448,1.17448
2026-01-02 22:10:00,1.17448,1.17479,1.17448,1.17477
2026-01-02 22:11:00,1.17478,1.17478,1.17475,1.17476
2026-01-02 22:12:00,1.17475,1.17475,1.17472,1.17475
2026-01-02 22:13:00,1.17473,1.17484,1.17473,1.17483
2026-01-02 22:14:00,1.17482,1.17485,1.17481,1.17484
2026-01-02 22:15:00,1.17484,1.17485,1.17480,1.17480
2026-01-02 22:16:00,1.17484,1.17484,1.17478,1.17478
2026-01-02 22:17:00,1.17480,1.17482,1.17478,1.17479
2026-01-02 22:18:00,1.17479,1.17480,1.17478,1.17480
2026-01-02 22:19:00,1.17479,1.17480,1.17479,1.17480
2026-01-02 22:20:00,1.17481,1.17481,1.17476,1.17476
2026-01-02 22:21:00,1.17474,1.17475,1.17474,1.17475
2026-01-02 22:22:00,1.17473,1.17473,1.17471,1.17471
2026-01-02 22:23:00,1.17471,1.17472,1.17470,1.17471
2026-01-02 22:24:00,1.17471,1.17471,1.17463,1.17466
2026-01-02 22:25:00,1.17463,1.17464,1.17463,1.17463
2026-01-02 22:26:00,1.17456,1.17460,1.17453,1.17456
2026-01-02 22:27:00,1.17458,1.17458,1.17453,1.17455
2026-01-02 22:28:00,1.17453,1.17453,1.17453,1.17453
2026-01-02 22:29:00,1.17453,1.17458,1.17453,1.17453
2026-01-02 22:30:00,1.17455,1.17459,1.17455,1.17457
2026-01-02 22:31:00,1.17459,1.17459,1.17459,1.17459
2026-01-02 22:32:00,1.17458,1.17458,1.17458,1.17458
2026-01-02 22:33:00,1.17452,1.17459,1.17452,1.17457
2026-01-02 22:34:00,1.17454,1.17460,1.17454,1.17460
2026-01-02 22:35:00,1.17461,1.17461,1.17457,1.17457
2026-01-02 22:36:00,1.17460,1.17460,1.17456,1.17456
2026-01-02 22:37:00,1.17455,1.17455,1.17455,1.17455
2026-01-02 22:38:00,1.17460,1.17460,1.17460,1.17460
2026-01-02 22:39:00,1.17458,1.17471,1.17458,1.17471
2026-01-02 22:40:00,1.17470,1.17472,1.17464,1.17468
2026-01-02 22:41:00,1.17469,1.17472,1.17469,1.17469
